INSTITUCIÓN EDUCATIVA;NIVEL_MCER;FECHA
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Domingo Savio;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;B1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A2;2018
Escuela Normal Superior de María;A1;2018
Escuela Normal Superior de María;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A2;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;B1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Gilberto Echeverri Mejía;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A2;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A2;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A2;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;B1;2018
Guillermo Gaviria Correa;B1;2018
Guillermo Gaviria Correa;A2;2018
Guillermo Gaviria Correa;A1;2018
Guillermo Gaviria Correa;A2;2018
Guillermo Gaviria Correa;B1;2018
Guillermo Gaviria Correa;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;B1;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A1;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;B1;2018
José María Córdoba;A1;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
José María Córdoba;A2;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;C1;2018
Josefina Muñoz González;A2;2018
Josefina Muñoz González;B1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A1;2018
Josefina Muñoz González;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;B2;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;B1;2018
La Mosquita;A1;2018
La Mosquita;B1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;B1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;B1;2018
La Mosquita;A1;2018
La Mosquita;A2;2018
La Mosquita;A1;2018
La Mosquita;A2;2018
La Mosquita;A1;2018
La Mosquita;B2;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;B1;2018
La Mosquita;A1;2018
La Mosquita;A2;2018
La Mosquita;A2;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A2;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
La Mosquita;A1;2018
San Antonio;A1;2018
San Antonio;A1;2018
San Antonio;A2;2018
San Antonio;B1;2018
San Antonio;A1;2018
San Antonio;A1;2018
San Jose de Las Cuchillas;A1;2018
San Jose de Las Cuchillas;B1;2018
San Jose de Las Cuchillas;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A2;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A2;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;B1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A2;2018
Santa Barbara;A1;2018
Santa Barbara;B1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;B1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;A1;2018
Santa Barbara;B1;2018
Santa Barbara;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A2;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A2;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;B1;2018
Sin información;B1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A2;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Sin información;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;C1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B2;2018
Técnico Industrial Santiago de Arma;C1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B2;2018
Técnico Industrial Santiago de Arma;B1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;B1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;C1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;A1;2018
Técnico Industrial Santiago de Arma;B1;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;B2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Técnico Industrial Santiago de Arma;A2;2018
Ana Gómez de Sierra;A1;2019
Ana Gómez de Sierra;B1;2019
Ana Gómez de Sierra;A1;2019
Ana Gómez de Sierra;A2;2019
Ana Gómez de Sierra;A1;2019
Ana Gómez de Sierra;A1;2019
Ana Gómez de Sierra;A1;2019
Ana Gómez de Sierra;A2;2019
Ana Gómez de Sierra;A1;2019
Ana Gómez de Sierra;A1;2019
Antonio Donado Camacho;A1;2019
Antonio Donado Camacho;A2;2019
Antonio Donado Camacho;B1;2019
Antonio Donado Camacho;A2;2019
Antonio Donado Camacho;A2;2019
Antonio Donado Camacho;A2;2019
Antonio Donado Camacho;B1;2019
Antonio Donado Camacho;B1;2019
Antonio Donado Camacho;A2;2019
Baltazar Salazar;A1;2019
Baltazar Salazar;A2;2019
Baltazar Salazar;A1;2019
Baltazar Salazar;A1;2019
Baltazar Salazar;A2;2019
Baltazar Salazar;A2;2019
Baltazar Salazar;A1;2019
Barro Blanco;A1;2019
Barro Blanco;B1;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;B1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;C1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A1;2019
Barro Blanco;A1;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Barro Blanco;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;B1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A2;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Concejo Municipal El Porvenir;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;B1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;B1;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;C1;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;B1;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;B1;2019
Domingo Savio;B1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Domingo Savio;A1;2019
Domingo Savio;A2;2019
Domingo Savio;A1;2019
Escuela Normal Superior de María;A2;2019
Escuela Normal Superior de María;A1;2019
Escuela Normal Superior de María;A1;2019
Escuela Normal Superior de María;A1;2019
Escuela Normal Superior de María;A2;2019
Escuela Normal Superior de María;A2;2019
Escuela Normal Superior de María;A1;2019
Escuela Normal Superior de María;A1;2019
Escuela Normal Superior de María;B1;2019
