Año;Sede Nodal;Sede;Grado;Idioma;Nivel MCER;Horas de formación;Día;Jornada;Matriculados
2022;I. E. JOSEFINA MUÑOZ GONZÁLEZ;Baldomero Sanín Cano;9°;Francés;A1;120;Lunes y martes;Mañana;18
2022;I. E. JOSEFINA MUÑOZ GONZÁLEZ;Cuatro Esquinas;9°;Francés;A1;120;Martes y miércoles;Tarde;16
